market_id,question,category,yes_resolved,created_at,closed_time,end_date,volume,volume24hr,volume1wk,volume1mo,last_trade_price,one_day_price_change,one_week_price_change,one_month_price_change
1437268,"Will Israel strike Lebanon on March 31, 2026?",Geopolitics,1,2026-02-25T18:48:13.445987Z,2026-04-25T10:49:54Z,2026-03-31T00:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2070192,Total Kills Over/Under 47.5 in Game 2?,Sports,0,2026-04-24T18:10:19.613783Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2069901,Total Kills Over/Under 47.5 in Game 1?,Sports,0,2026-04-24T17:20:17.085271Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2069902,Total Kills Over/Under 46.5 in Game 1?,Sports,0,2026-04-24T17:20:17.25278Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2069903,Total Kills Over/Under 40.5 in Game 1?,Sports,0,2026-04-24T17:20:17.427019Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2069904,Total Kills Over/Under 41.5 in Game 1?,Sports,0,2026-04-24T17:20:17.59884Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2069905,Total Kills Over/Under 43.5 in Game 1?,Sports,0,2026-04-24T17:20:17.786751Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2069906,Total Kills Over/Under 42.5 in Game 1?,Sports,0,2026-04-24T17:20:17.992491Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2069907,Total Kills Over/Under 45.5 in Game 1?,Sports,0,2026-04-24T17:20:18.159622Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2069908,Total Kills Over/Under 44.5 in Game 1?,Sports,0,2026-04-24T17:20:18.327545Z,2026-04-25T10:08:22Z,2026-04-24T23:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
